Tiempo;RateOil;RateWater;BSW
1/2/2015;12;8;40%
1/3/2015;48;8;14%
1/4/2015;140;8;5%
1/5/2015;160;8;5%
1/6/2015;196;28;12%
1/7/2015;216;28;11%
1/8/2015;268;28;9%
1/9/2015;288;28;9%
1/10/2015;384;28;7%
1/11/2015;358;28;7%
1/12/2015;366;28;7%
1/1/2016;384;28;7%
1/2/2016;341;28;8%
1/3/2016;331;28;8%
1/4/2016;341;27;7%
1/5/2016;358;27;7%
1/6/2016;396;27;6%
1/7/2016;442;27;6%
1/8/2016;465;27;6%
1/9/2016;498;27;5%
1/10/2016;545;27;5%
1/11/2016;621;27;4%
1/12/2016;556;27;5%
1/1/2017;646;27;4%
1/2/2017;634;28;4%
1/3/2017;591;27;4%
1/4/2017;653;28;4%
1/5/2017;751;28;4%
1/6/2017;729;28;4%
1/7/2017;774;28;3%
1/8/2017;782;28;3%
1/9/2017;899;29;3%
1/10/2017;964;30;3%
1/11/2017;1098;30;3%
1/12/2017;1178;31;3%
1/1/2018;1341;32;2%
1/2/2018;1276;34;3%
1/3/2018;1410;34;2%
1/4/2018;1638;34;2%
1/5/2018;1829;35;2%
1/6/2018;1923;44;2%
1/7/2018;1811;46;2%
1/8/2018;1829;46;2%
1/9/2018;1722;47;3%
1/10/2018;1775;48;3%
1/11/2018;1671;48;3%
1/12/2018;1671;48;3%
1/1/2019;1793;48;3%
1/2/2019;1847;48;3%
1/3/2019;1793;49;3%
1/4/2019;1622;51;3%
1/5/2019;1688;58;3%
1/6/2019;1757;61;3%
1/7/2019;1638;74;4%
1/8/2019;1638;81;5%
1/9/2019;1705;95;5%
1/10/2019;1981;104;5%
1/11/2019;1904;109;5%
1/12/2019;1757;117;6%
1/1/2020;1829;122;6%
1/2/2020;1847;131;7%
1/3/2020;2104;169;7%
1/4/2020;1829;173;9%
1/5/2020;1655;187;10%
1/6/2020;1688;206;11%
1/7/2020;1923;236;11%
1/8/2020;1671;305;15%
1/9/2020;1757;313;15%
1/10/2020;3695;956;21%
1/11/2020;4250;1172;22%
1/12/2020;4083;1650;29%
1/1/2021;4697;1705;27%
1/2/2021;4937;2235;31%
1/3/2021;4379;2760;39%
1/4/2021;4083;3688;47%
1/5/2021;3962;4159;51%
1/6/2021;4124;4276;51%
1/7/2021;4604;5592;55%
1/8/2021;4792;6924;59%
1/9/2021;4937;7092;59%
1/10/2021;4558;6051;57%
1/11/2021;4292;9196;68%
1/12/2021;4336;9999;70%
1/1/2022;3923;10115;72%
1/2/2022;4250;10430;71%
1/3/2022;4937;10239;67%
1/4/2022;4888;10495;68%
1/5/2022;4336;10655;71%
1/6/2022;5037;10970;69%
1/7/2022;4468;9296;68%
1/8/2022;3884;8201;68%
1/9/2022;3585;7624;68%
1/10/2022;3212;7883;71%
1/11/2022;2849;8621;75%
1/12/2022;2849;7995;74%
1/1/2023;3025;7645;72%
1/2/2023;2935;7019;71%
1/3/2023;2820;7115;72%
1/4/2023;3086;6555;68%
1/5/2023;2656;7247;73%
1/6/2023;3055;6664;69%
1/7/2023;2764;7181;72%
1/8/2023;2603;7565;74%
1/9/2023;2683;6528;71%
1/10/2023;2935;7013;70%
1/11/2023;3212;7013;69%
1/12/2023;3212;6926;68%
1/1/2024;3148;10501;77%
1/2/2024;3514;9834;74%
1/3/2024;3055;10291;77%
1/4/2024;3117;13430;81%
1/5/2024;3621;10506;74%
1/6/2024;4042;11298;74%
1/7/2024;4083;11617;74%
1/8/2024;4292;10963;72%
1/9/2024;4166;11974;74%
1/10/2024;4423;13035;75%
1/11/2024;3884;13607;78%
1/12/2024;4292;14166;77%
1/1/2025;4744;14958;76%
