Tiempo;    @Name( )  ;RateOil;Acumulado de  Petroleo Mbls ;Tasa Real de Agua bls/d ;Acumulado de  Agua Mbls ;Tasa Real Liquido bls/d ;Corte de Agua %fraccion ;Corte Agua Acumulado %$US/BOE ;Relacion Agua Petroleo bls/bls ;Relacion Agua Petroleo bls/bls ;Relacion Gas Petroleo Mensual lb ;Relacion Gas Petroleo Acum lb ;Dias  de Prod. dias ;Acumulado Dias de Produccion dias ;  Productor(s) Activo(s)  ;Tasa Real de Gas Mpc/d ;Acumulado de  Gas Mpc ;    YACIMIENTO  
01/05/2007;00101SIN0094  01-1;1035,9;14,369;80,7;1,119;1116,6;7,2;7,225;0,08;0,08;10,6;10,6;14;14;1;11;152;P-1/2       0010
01/06/2007;00101SIN0094  01-1;1459,7;56,985;781,3;23,93;2241,1;34,9;29,574;0,54;0,42;9,6;9,8;29;43;1;14;561;P-1/2       0010
01/07/2007;00101SIN0094  01-1;917;85,12;943;52,865;1860;50,7;38,312;1,03;0,62;15,2;11,6;31;74;1;14;990;P-1/2       0010
01/08/2007;00101SIN0094  01-1;766,5;108,87;1369,3;95,294;2135,8;64,1;46,675;1,79;0,88;18,3;13,1;31;105;1;14;1425;P-1/2       0010
01/09/2007;00101SIN0094  01-1;651,6;128,416;1252,3;132,859;1903,9;65,8;50,85;1,92;1,03;21,5;14,4;30;135;1;14;1844;P-1/2       0010
01/10/2007;00101SIN0094  01-1;591,8;146,761;1155;168,664;1746,8;66,1;53,472;1,95;1,15;23,7;15,5;31;166;1;14;2278;P-1/2       0010
01/11/2007;00101SIN0094  01-1;586,6;164,269;1155;203,136;1741,6;66,3;55,289;1,97;1,24;23,9;16,4;30;196;1;14;2696;P-1/2       0010
01/12/2007;00101SIN0094  01-1;603,6;182,967;1302,4;243,484;1906;68,3;57,095;2,16;1,33;23,2;17,1;31;227;1;14;3130;P-1/2       0010
01/01/2008;00101SIN0094  01-1;576,6;200,778;1261,6;282,457;1838,1;68,6;58,451;2,19;1,41;24,3;17,7;31;257;1;14;3563;P-1/2       0010
01/02/2008;00101SIN0094  01-1;435,4;213,385;1339,8;321,246;1775,2;75,5;60,087;3,08;1,51;32,1;18,6;29;286;1;14;3968;P-1/2       0010
01/03/2008;00101SIN0094  01-1;444,3;227,131;1364;363,442;1808,3;75,4;61,541;3,07;1,6;31,5;19,4;31;317;1;14;4401;P-1/2       0010
01/04/2008;00101SIN0094  01-1;430,4;239,674;1364;403,19;1794,4;76;62,718;3,17;1,68;32,5;20,1;29;346;1;14;4809;P-1/2       0010
01/05/2008;00101SIN0094  01-1;434,4;252,89;1364;444,692;1798,3;75,8;63,748;3,14;1,76;32,2;20,7;30;377;1;14;5235;P-1/2       0010
01/06/2008;00101SIN0094  01-1;435,4;265,877;1364;485,376;1799,4;75,8;64,609;3,13;1,83;32,2;21,3;30;407;1;14;5653;P-1/2       0010
01/07/2008;00101SIN0094  01-1;423,5;278,9;1364;527,318;1787,6;76,3;65,406;3,22;1,89;33;21,8;31;437;1;14;6083;P-1/2       0010
01/08/2008;00101SIN0094  01-1;422,6;291,88;1364;569,216;1786,5;76,3;66,104;3,23;1,95;33,1;22,3;31;468;1;14;6512;P-1/2       0010
01/09/2008;00101SIN0094  01-1;418,9;304,371;1364;609,893;1782,9;76,5;66,709;3,26;2;33,4;22,8;30;498;1;14;6929;P-1/2       0010
01/10/2008;00101SIN0094  01-1;405,7;316,8;1366,1;651,743;1771,9;77,1;67,291;3,37;2,06;34,5;23,2;31;529;1;14;7358;P-1/2       0010
01/11/2008;00101SIN0094  01-1;316,6;326,285;1381;693,121;1697,6;81,4;67,993;4,36;2,12;44,2;23,8;30;559;1;14;7777;P-1/2       0010
01/12/2008;00101SIN0094  01-1;312,8;335,941;1381;735,749;1693,8;81,5;68,653;4,41;2,19;44,6;24,4;31;589;1;14;8208;P-1/2       0010
01/01/2009;00101SIN0094  01-1;319,8;345,81;1381;778,362;1700,8;81,2;69,239;4,32;2,25;43,8;25;31;620;1;14;8640;P-1/2       0010
01/02/2009;00101SIN0094  01-1;329,3;354,978;1381;816,807;1710,3;80,7;69,706;4,19;2,3;42,5;25,4;28;648;1;14;9030;P-1/2       0010
01/03/2009;00101SIN0094  01-1;331,1;365,213;1381;859,499;1712,1;80,7;70,18;4,17;2,35;42,3;25,9;31;679;1;14;9463;P-1/2       0010
01/04/2009;00101SIN0094  01-1;321,7;374,787;1381;900,603;1702,7;81,1;70,614;4,29;2,4;43,6;26,4;30;709;1;14;9880;P-1/2       0010
01/05/2009;00101SIN0094  01-1;318;384,565;1390,8;943,372;1708,7;81,4;71,04;4,37;2,45;44,1;26,8;31;740;1;14;10311;P-1/2       0010
01/06/2009;00101SIN0094  01-1;226,9;391,322;1484;987,557;1711;86,7;71,62;6,54;2,52;61,6;27,4;30;769;1;14;10727;P-1/2       0010
01/07/2009;00101SIN0094  01-1;224,4;398,259;1484;1033,428;1708,4;86,9;72,183;6,61;2,59;62,4;28;31;800;1;14;11160;P-1/2       0010
01/08/2009;00101SIN0094  01-1;223,2;405,132;1484;1079,124;1707,2;86,9;72,705;6,65;2,66;62,7;28,6;31;831;1;14;11591;P-1/2       0010
01/09/2009;00101SIN0094  01-1;217,2;411,311;1484;1121,344;1701,2;87,2;73,163;6,83;2,73;64,4;29,1;28;860;1;14;11989;P-1/2       0010
01/10/2009;00101SIN0094  01-1;227,6;415,667;1607;1152,1;1834,6;87,6;73,487;7,06;2,77;61,5;29,5;19;879;1;14;12257;P-1/2       0010
01/11/2009;00101SIN0094  01-1;290,8;424,138;1919,3;1208,002;2210,2;86,8;74,013;6,6;2,85;47,9;29,9;29;908;1;13,9;12663;P-1/2       0010
